family,split_tag,model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
ablation,B,M1_TFIDF_ONLY,OOD,0.6315104166666666,0.6314048045043288,0.7283155407921191,0.6783616807725694,0.1588541666666666,0.3098958333333333,0.4166666666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.415; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.415,macro_f1,,,False,False,0.8747548332866348,0.8747548332866348,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,B,M1_TFIDF_ONLY,OOD,0.6002604166666666,0.5310730530490315,0.7283155407921191,0.6783616807725694,0.1588541666666666,0.3098958333333333,0.4166666666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.959; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.959,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8747548332866348,0.6464037970062066,0.024390243902439,0.5277777777777778,1.0,-0.0256097560975609,0.0,45.0,ood_test,,,,,,,,,,,,,,,
ablation,B,M2_TFIDF_PLUS_FLAGS,OOD,0.6861979166666666,0.6861931283538059,0.7470846537527296,0.7302313910590277,0.1015625,0.2760416666666667,0.3958333333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.640; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.64,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,B,M2_TFIDF_PLUS_FLAGS,OOD,0.59765625,0.5344404445447144,0.7470846537527296,0.7302313910590277,0.1015625,0.2760416666666667,0.3958333333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6077523602033406,0.048780487804878,0.4814814814814814,1.0,-0.0012195121951219,0.0,18.0,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6822916666666666,0.6821860562931203,0.7440617475632489,0.722439236111111,0.0494791666666666,0.3307291666666667,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.665; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.665,macro_f1,,,False,False,0.8990514905149052,0.8990514905149052,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.5390625,0.4216818263037429,0.7440617475632489,0.722439236111111,0.0494791666666666,0.3307291666666667,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.995; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.995,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8990514905149052,0.5369127516778524,0.024390243902439,0.3703703703703703,1.0,-0.0256097560975609,0.0,6.0,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.69140625,0.6914015411612116,0.7555538459440571,0.7362433539496527,0.0989583333333333,0.3307291666666667,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.625; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.625,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.59375,0.5272727272727273,0.7555538459440571,0.7362433539496527,0.0989583333333333,0.3307291666666667,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.048780487804878,0.5092592592592593,1.0,-0.0012195121951219,0.0,17.0,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.6888020833333334,0.6882942212365185,0.7584248558922455,0.7356770833333334,0.109375,0.3177083333333333,0.4270833333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.704; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.704,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,B,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.60546875,0.5444884440642599,0.7584248558922455,0.7356770833333334,0.109375,0.3177083333333333,0.4270833333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6328039430449068,0.048780487804878,0.5185185185185185,1.0,-0.0012195121951219,0.0,19.0,ood_test,,,,,,,,,,,,,,,
